STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,120,100100,5583,+41.324440,-073.262009
09,120,100200,6749,+41.322093,-073.216184
09,120,100300,6493,+41.352304,-073.200271
09,120,105100,4220,+41.233874,-073.277157
09,120,105200,3385,+41.283841,-073.296662
09,120,257200,4087,+41.197678,-073.197549
09,120,990000,0,+41.092611,-073.171738
09,130,541100,2549,+41.565548,-072.657477
09,130,541200,5427,+41.578014,-072.679821
09,130,541301,2047,+41.593641,-072.705179
09,130,541302,4123,+41.591484,-072.701877
09,130,541401,3333,+41.571948,-072.723096
09,130,541402,5639,+41.560684,-072.685141
09,130,541500,3324,+41.554763,-072.656783
09,130,541600,1475,+41.562450,-072.651236
09,130,541700,3664,+41.553439,-072.644599
09,130,542000,4482,+41.540000,-072.640986
09,130,542100,3571,+41.541536,-072.665612
09,130,542200,1628,+41.522801,-072.673692
09,130,550100,5759,+41.595885,-072.513838
09,130,550201,3877,+41.564695,-072.480791
09,130,550202,3081,+41.556051,-072.522046
09,130,560100,5789,+41.593332,-072.595749
09,130,560200,3595,+41.578826,-072.632997
09,130,570100,5007,+41.611847,-072.687737
09,130,570200,3458,+41.618256,-072.664101
09,130,570300,5760,+41.607584,-072.650613
09,130,580100,4217,+41.521997,-072.711286
09,130,585100,7152,+41.463788,-072.686838
09,130,590101,3925,+41.476434,-072.520274
09,130,590102,4527,+41.457229,-072.577578
09,130,595101,3573,+41.467962,-072.380854
09,130,595102,5302,+41.499362,-072.432680
09,130,600100,3749,+41.405191,-072.465904
09,130,610100,2146,+41.277471,-072.533329
09,130,610200,3689,+41.275749,-072.509410
09,130,610300,4150,+41.307560,-072.520713
09,130,610400,3200,+41.304075,-072.551954
09,130,620100,4415,+41.375189,-072.449951
09,130,630101,4185,+41.342558,-072.433774
09,130,630102,2548,+41.355536,-072.395492
09,130,640100,6174,+41.369659,-072.570930
09,130,650100,2352,+41.393816,-072.341037
09,130,660101,3420,+41.331143,-072.317883
